Document_ID,clean_text,Sentiment
0,shawshank redemption written directed frank darabont adaptation stephen king novella rita hayworth shawshank redemption starring tim robbins morgan freeman film portrays story andy dufresne robbins banker sentenced two life sentence shawshank state prison apparently murdering wife lover andy find tough going find solace friendship form fellow inmate elli red redding freeman thing start pick warden find andy prison job befitting talent banker however arrival another inmate going vastly change thing themthere fanfare bunting put release film back title didnt give much inkling anyone columbia picture unsure market shawshank redemption barely registered box office however come academy award time film received several nomination although none stirred interest film home entertainment release rest say history film finally found audience saw film propelled almost mythical proportion endearing modern day classic something delighted fan whilst simultaneously baffling detractor one thing sure though ever side shawshank fence sit film continues gather new fan simply never go away loose mythical statusits possibly simplicity sends hater film cinematic spasm implausible plot apparent sentimental edge make nonsense prison life two chief complaint dislike film passion yet character richly drawn movingly performed strike churlish human drama thats dealing hope friendship faith sentimental aspect indeed act counterpoint suffering degradation shattering soul involving protagonist cosy prison life say chance need human connection never needed incarceration surely given quite terrific performance robbins never better freeman sublimely making easy easiest thing world warm andy redthose support arent faring bad either bob gunton coiled spring smarm warden norton james whitmore heart achingly great birdman shawshank clancy brown menacing antagonist capt byron hadley william sadler amusing heywood mark rolston impressively vile bog diamond there roger deakins lush cinematography camera gracefully glide prison offering almost ethereal hope character yes music ping conjunction emotional flow movie thomas newman score mostly piano based dovetailing neatly andys state mind excellently selected soundtrack range like hank williams gorgeous le nozze di figaro mozartif love shawshank love last lifetime every viewing brings array emotion anger revilement happiness sadness inspiration warmth reduce hardened misty eyed wonderment else though shawshank offer hope character movie better life better world u,Positive
1,wonder film high rating quite literally breathtaking say hasnt said much story acting premise movie make feel sometimes watch film cant remember day later film love youve seen dont forgetthe ultimate story friendship hope life overcoming adversityi understand many class best film time isnt mine get havent seen havent seen time need watch amazing,Positive
2,im trying save money last film title consider borrowing renting shawshank cost five buck plunk title youll wind going back gem time time one movie truly timeless entertaining moving matter many time view itforget others including might suggest youll discover shawshank redemption watch youll identify something personal life scene character moment uncomplicated movie need hope youll look shawshank want believe overcoming even greatest obstacle shawshank uplift way cant find movie today liken film kind spiritual awakening course go church mosque find enlightenment faith humanity place worship open certain day time need affirmation lasting bond friendship prevail dire circumstance shawshank give make grown men like cry still wonder whether shawshank truly meant viewing privacy home personal experience really make look inward nominated seven best film never one single oscar ironic innocent man wind surrounded corruption legal system shawshank similar character andy dufresne prejudging classic film critic couldnt get past title public followed suit initially dismissing shawshank failed box office like wonderful life citizen kane could whithered away store shelf like andy dufresne could cell character prevailed andy shawshank stayed true movie right popular film time anyone yet watch shawshank may jaded movie film title hour movie set inside wall prison manage tap soul wide range people shawshank one explosion wonder even single special effect digitally enhanced frame every aspect shawshank fit together acting top bit part musical score editing photography story opening credit final scene involved including town mansfield ohio shawshank actually filmed played role perfectly shawshank must see must title,Positive
3,movie ordinary hollywood flick great deep message movie foundation kept built foundation hopeother message movie acting phenomenal tim robbins gave one greatest performance ever inspiring intelligent positive performance made smile robbins play andy dufresne wrongfully convicted murdering wife lover get life sentence yet never give hope becomes friend elli boyd red redding played morgan freeman freeman give finest performance career unlike robbins lost hope deep regret crime committed way deflecting pain away trying feel anything friendship andy learns without hope dream nothing andy also becomes friend rest red group james whitmore also gave great performance brook halten get prison parole word red institutionalized directing frank darabont magnificent kept movie great steady pace along writing great cinematography portrayed prison life horrifying way term physical pain stress pain ware mentally inmate deserve second chance whatever dont listen people say movie overrated one inspiring greatest movie ever everything could possibly want,Positive
4,oscar year shawshank redemption written directed frank darabont novella rita hayworth shawshank redemption stephen king nominated seven academy award walked away zero best picture went forrest gump shawshank pulp fiction happy nominated course hindsight history look back gump good film pulp redemption remembered alltime best pulp however success word go making huge splash cannes making writerdirector american master two film andy dufresne co success didnt come easy fortunately failure wasnt life sentenceafter opening screen take film fell fast theatre finished mere reason failure many firstly title clunker iconic fan today people knew cared shawshank dvd tim robbins laugh recounting fan congratulating rickshaw movie marketingwise film nightmare prison drama tough sell woman story love two best friend doesnt spell winner men worst movie slow molasses desson thomson writes washington post wanders subplots every opportunity ignores abundance narrative exit point settling finale weakness make film strongfirstly setting opening aerial shot prison total eyeopener amazing piece architecture strong gothic design immediately prison becomes character cast shadow film tall stone wall stretching every shot tower men contains blotting memory outside world andy robbins hold onto hope music sandy beach zihuatanejo here need say need dont forget forget place world arent made stone there there there something inside thats cant touch red morgan freeman doesnt think much andy first picking tall glass milk silver spoon as first new fish crack andy say word losing bet red resents time two get know quickly become best friend one film major strength many movie love many flick sidekick hero shawshank one think look honestly love two best friend seems odd hollywood would skip relationship time feeling weighs much everyones day day life perhaps sentimental seem conventional shawshanks core friendship hit right note film much better itits pacing deliberate well spend film watching actor easy forget movie timeline span well year huge measure time would pas slowly reality would amplified prison film lack interest moment still know going merely intends taking sweet time getting pay well tedium prison life make climax much exhilarating anyone see moment never forgottenwith theme faith hope definite religious subtext found quiet selfless carefree andy obvious christ figure warden norton bob gunton obviously modeled richard nixon day close personified satan come arent looking subtexts movie speaks anyone search hope compelling drama moving film perfectly written acted shot dont come much better thisoverall score shawshank redemption served message hope hollywood well film memory proved life box office besting forrest fiction ran solely strong word mouth became hottest rented film currently sits imdbs top film occasionally swapping spot godfather top ranked film time redemption indeed havent seen yet hell waiting andy say come simple choice really either get busy living get busy dying,Positive
5,best movie history best ending entertainment business,Positive
6,one finest film made recent year poignant story hope hope get thats make film like movie tell lesson life film people talk even year also story freedom freedom isolation rule bigotry hate freeman robbins majestic performance learns relationship strong feel first moment make contact one another also wonderful performance legend james whitmore brookshe shine time go back world find world grew fast never even got chance blink stephen king story brought screen great elegance excitement extraordinary motion people talking year,Positive
7,ive lost count number time seen movie one best movie ever made made take notice morgan freeman tim robbins like never noticed actor beforei young age huge fan anything stephen king writes already read short story movie based year prior seeing movienot everything stephen king written get turned movie come well close perfection get everything could ever want moviesomething outstanding fact real action special effect gimmick movie men prison uniform talking yet absolutely hook almost beginning glued screen endfor really make film one best message eternal hope conveys throughout never ever give hope attitude main character well conveyed tim robbins ending spine tingling every time see matter many time seen itbrilliant brilliant movie must see everyone,Positive
8,misery stand best adaptation one add shawshank listthis simply one best film ever made know first say certainly wont last standing imdb true barometer date im sure could number ill skip normal praise film know great let perhaps add find fascinating shawshank stephen king wrote itking one best writer world book like castle rock series greatest story ever told best adaptation always done best director shining brilliantly interpreted kubrick course aforementioned misery stand rob reiner frank darabont come onto scene make arguably best king film ever seems understand king want say conveys beautifully make film one best ever made message conveys one eternal hope andy dufresne played tim robbins sent prison crime commit never loses hope never give quest become free man year tenacity patience wit keep sane give mind spirit live film different feel never anything like dont know againim going say film already said suffice say glad forrest gump best picture would equally glad pulp fiction shawshank would good movie one appreciated year come,Positive
9,shawshank redemption without doubt one best film ever made definitely best film yes better lion king really like enthralling powerful moving confess didnt understand first saw lot happens film seen three time seriously hope ignored film first released recognise great film really dialogue extremely wellwritten line really stick mind cinematography music gorgeous prison like character dominates film script true element stephen king admit huge king fan usually dont like coarse language book book like good accepted language represents brutality rebellion shown perfectly film battle acceptance suppose inmate superiorslike scene warden yelling coarse language new inmate lined row beginningthe acting exceptional hugely familiar tim robbins great job demanding role best performance however come morgan freeman red seriously robbed oscar lost tom hank forrest gump freeman reminds strongly style acting remind sean connery suave yet charismatic acting isnt vocal range depth freeman certainly short freeman brilliant could best performance scene inmate listening mozart aria speaker beautiful profound moment actually cried brook death scene rarely king adaptation translateto screen well large scale author book exception shining like dreamcatcher genuinely memorable number flaw prevent classed outstanding like thinner tommyknockers border unwatchable conclusion shawshank brilliant film worthy credit denied solong course bethany cox,Positive
